Open,High,Low,Close,Adj Close,Volume
3173,3235.959961,3161.23999,3226.72998,3226.72998,3334900
3223.75,3247.310059,3217.040039,3223.820068,3223.820068,2537800
3233.800049,3303.610107,3223.649902,3279.389893,3279.389893,3346200
3310.899902,3324.5,3292,3299.300049,3299.300049,2812100
3304.699951,3372.199951,3288.899902,3372.199951,3372.199951,4341500
3355.209961,3395.040039,3351.149902,3379.389893,3379.389893,3281800
3400.850098,3432,3395.629883,3400,3400,3315800
3404.040039,3404.129883,3326,3333,3333,3145200
3371,3397,3352,3379.090088,3379.090088,3233600
3380,3406.800049,3355.590088,3399.439941,3399.439941,3186000
3390.330078,3435.929932,3360.159912,3372.01001,3372.01001,2725400
3373.600098,3382.98999,3316,3334.689941,3334.689941,2623000
3316,3362.860107,3303.810059,3362.02002,3362.02002,2211200
3371.679932,3372.870117,3301.449951,3309.040039,3309.040039,2580600
3319.100098,3375,3308.5,3340.879883,3340.879883,3192800
3348,3428.449951,3330.939941,3409,3409,4880700
3443.469971,3460,3398.01001,3417.429932,3417.429932,3827100
3434.800049,3489.879883,3425,3458.5,3458.5,4631900
3505.100098,3514.449951,3435,3471.310059,3471.310059,7682400
3525.120117,3554,3462.5,3467.419922,3467.419922,7009300
3484.72998,3486.649902,3372.699951,3386.48999,3386.48999,5875500
3356.189941,3367.97998,3272.129883,3311.870117,3311.870117,5439400
3338.860107,3354.699951,3264.360107,3270.540039,3270.540039,3711300
3270,3314.399902,3247.199951,3306.370117,3306.370117,4447700
3319.090088,3330.889893,3289.070068,3291.610107,3291.610107,4710300
3282.320068,3283,3190,3190.48999,3190.48999,5838600
3136.280029,3238,3127.370117,3223.909912,3223.909912,4619800
3185,3207.939941,3133.100098,3151.939941,3151.939941,4936400
3185.469971,3203.840088,3133,3161.469971,3161.469971,3350900
3185.560059,3228.860107,3183,3222.899902,3222.899902,3325000
3245.929932,3292.75,3234.590088,3270.389893,3270.389893,3723900
3292.580078,3312,3230.370117,3232.280029,3232.280029,2828400
3195,3234.75,3184,3231.800049,3231.800049,2679700
3244.399902,3259.679932,3236.179932,3247.679932,3247.679932,2633200
3250,3256.689941,3197.01001,3203.080078,3203.080078,4104900
3215.5,3257.949951,3210.5,3244.98999,3244.98999,2422800
3266.669922,3279.820068,3213.76001,3259.050049,3259.050049,3261100
3274.590088,3295.72998,3258.51001,3265.159912,3265.159912,2384000
3256,3260.360107,3230.040039,3230.110107,3230.110107,2561200
3242,3247.98999,3219.699951,3223.070068,3223.070068,2329800
3243.5,3250.97998,3209.060059,3218.649902,3218.649902,2430000
3223.100098,3235,3208,3233.98999,3233.98999,2014500
3204.22998,3214.439941,3184.030029,3187.01001,3187.01001,2398300
3212,3221,3198.810059,3206.219971,3206.219971,2249700
3197.330078,3208,3172.199951,3198.01001,3198.01001,2215800
3222.610107,3279.530029,3218.01001,3264.110107,3264.110107,3416700
3272.870117,3297.580078,3270.699951,3281.149902,3281.149902,2455500
3282.01001,3351,3281.149902,3349.649902,3349.649902,3476500
3349.649902,3366.580078,3333.449951,3346.830078,3346.830078,2817400
3346.830078,3385,3335.5,3383.870117,3383.870117,2569700
3384,3396.98999,3363.110107,3383.129883,3383.129883,2426200
3392,3426.350098,3360.530029,3415.25,3415.25,4202800
3403.179932,3497.199951,3401,3489.23999,3489.23999,5136500
3479.98999,3507,3473.709961,3486.899902,3486.899902,5247700
3476.419922,3482,3434,3453.959961,3453.959961,3277100
3458.060059,3523.780029,3456.090088,3505.439941,3505.439941,3345100
3505,3521,3483.199951,3503.820068,3503.820068,2813300
3507.639893,3524.860107,3430.850098,3449.080078,3449.080078,3832000
3464,3464.820068,3394.179932,3401.459961,3401.459961,3941000
3416,3448,3413.51001,3443.889893,3443.889893,2242800
3438.820068,3456.030029,3423.030029,3448.139893,3448.139893,2098400
3441.060059,3471.600098,3435,3440.159912,3440.159912,2404000
3434.610107,3457,3409.419922,3432.969971,3432.969971,2034200